,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,suntar,62.14,117.63,287.21,96,91,3.52,RU,1595361747
192,buraydah,26.33,43.98,311.15,17,0,3.6,SA,1595361747
193,launceston,-41.45,147.17,274.26,100,2,1.5,AU,1595361747
194,bambous virieux,-20.34,57.76,294.15,60,75,4.6,MU,1595361748
195,biak,-0.91,122.88,297.63,83,30,3.07,ID,1595361748
196,chokurdakh,70.63,147.92,295.31,46,100,5.27,RU,1595361460
197,brae,60.4,-1.35,284.15,87,7,1.5,GB,1595361748
198,kavieng,-2.57,150.8,300.96,74,3,2.65,PG,1595361749
199,mehamn,71.04,27.85,284.15,93,90,2.25,NO,1595361749
200,taitung,22.76,121.14,300.39,73,18,2.32,TW,1595361749
201,bridgetown,13.1,-59.62,305.15,55,40,8.2,BB,1595361517
202,pacific grove,36.62,-121.92,295.37,82,87,2.68,US,1595361750
203,sobolevo,54.43,31.9,288.27,94,11,4.49,RU,1595361750
204,khatanga,71.97,102.5,285.16,67,30,4.02,RU,1595361750
205,kapaa,22.08,-159.32,302.59,74,75,6.7,US,1595361750
206,buala,-8.14,159.59,299.05,82,89,4.35,SB,1595361751
207,boca do acre,-8.75,-67.4,307.61,34,44,0.51,BR,1595361751
208,labuhan,-6.88,112.21,298.58,86,82,3.59,ID,1595361751
209,ampanihy,-24.7,44.75,289.09,74,0,4.94,MG,1595361751
210,marawi,8.0,124.29,296.48,94,100,3.13,PH,1595361751
211,anadyr,64.75,177.48,285.15,71,0,2.0,RU,1595361484
212,washim,20.1,77.15,298.52,86,100,1.97,IN,1595361752
213,norman wells,65.28,-126.83,284.15,93,90,5.7,CA,1595361495
214,belle glade,26.68,-80.67,302.59,78,100,1.34,US,1595361467
215,gorele,41.03,39.0,297.15,69,75,3.54,TR,1595361752
216,talnakh,69.49,88.4,284.15,87,40,9.0,RU,1595361753
217,uni,57.75,51.49,288.99,95,77,4.1,RU,1595361753
218,krapkowice,50.48,17.97,292.59,71,0,0.89,PL,1595361754
219,srednekolymsk,67.45,153.68,296.05,34,25,7.89,RU,1595361754
220,novyy urengoy,66.08,76.63,281.28,71,0,5.1,RU,1595361754
221,inhambane,-23.86,35.38,293.15,68,75,2.1,MZ,1595361754
222,almaznyy,48.04,40.05,294.15,77,10,2.0,RU,1595361754
223,kattivakkam,13.22,80.32,302.15,89,40,2.1,IN,1595361755
224,pangai,-19.8,-174.35,293.15,94,40,2.0,TO,1595361755
225,cherskiy,68.75,161.3,294.12,40,29,3.74,RU,1595361755
226,juneau,58.3,-134.42,290.15,72,90,2.1,US,1595361750
227,lakes entrance,-37.88,147.98,278.15,93,58,4.13,AU,1595361756
228,qaqortoq,60.72,-46.03,292.15,39,40,4.1,GL,1595361756
229,orlovskiy,46.87,42.06,293.74,66,7,2.31,RU,1595361756
230,victor harbor,-35.57,138.62,280.93,91,87,1.25,AU,1595361756
231,freetown,8.48,-13.23,298.05,89,100,4.1,SL,1595361694
232,ternate,0.8,127.4,299.93,76,82,1.97,ID,1595361757
233,lagoa,39.05,-27.98,293.98,73,0,2.28,PT,1595361757
234,lucapa,-8.42,20.74,293.74,24,0,1.49,AO,1595361757
235,carbonia,39.17,8.52,299.26,78,0,3.1,IT,1595361591
236,asmar,35.03,71.36,295.36,62,0,0.54,AF,1595361757
237,cartagena,10.4,-75.51,302.15,83,75,4.1,CO,1595361758
238,kushiro,42.98,144.37,289.62,97,100,4.68,JP,1595361758
239,lasa,46.62,10.7,289.82,82,40,1.0,IT,1595361758
240,emerald,-23.53,148.17,286.48,62,75,3.6,AU,1595361758
241,sinnamary,5.38,-52.95,301.05,80,68,4.73,GF,1595361759
242,levokumskoye,44.82,44.66,294.02,74,91,5.91,RU,1595361759
243,kanniyakumari,8.08,77.57,299.9,86,100,5.08,IN,1595361610
244,palmer,42.16,-72.33,304.82,40,40,3.6,US,1595361630
245,oriximina,-1.77,-55.87,305.0,45,56,3.26,BR,1595361759
246,santo anastacio,-21.84,-51.61,302.15,26,0,2.1,BR,1595361760
247,bilma,18.69,12.92,307.79,23,2,4.54,NE,1595361760
248,broome,42.25,-75.83,302.04,57,75,3.1,US,1595361760
249,caravelas,-17.71,-39.25,295.82,70,0,2.32,BR,1595361760
250,rognan,67.1,15.39,283.71,96,100,1.55,NO,1595361761
251,morant bay,17.88,-76.41,305.15,59,20,11.8,JM,1595361761
252,chicama,-7.84,-79.15,294.81,59,39,4.7,PE,1595361761
253,itambacuri,-18.03,-41.69,296.1,62,33,1.22,BR,1595361761
254,khandbari,27.37,87.2,295.83,77,98,0.21,NP,1595361761
255,vila velha,-20.33,-40.29,298.71,73,40,7.7,BR,1595361762
256,bowen,-20.02,148.23,293.15,88,75,4.1,AU,1595361762
257,sao filipe,14.9,-24.5,298.5,77,100,2.89,CV,1595361762
258,kenitra,34.26,-6.58,296.15,73,20,3.6,MA,1595361762
259,natal,-5.79,-35.21,299.15,74,75,4.6,BR,1595361560
260,quelimane,-17.88,36.89,293.15,82,1,2.1,MZ,1595361763
261,biltine,14.53,20.92,304.59,46,60,3.91,TD,1595361763
262,herborn,50.68,8.32,289.26,52,0,1.7,DE,1595361763
263,marsh harbour,26.54,-77.06,301.73,76,100,6.37,BS,1595361764
264,marienburg,54.04,19.03,288.15,67,0,4.1,PL,1595361764
265,celendin,-6.87,-78.15,295.15,30,40,2.6,PE,1595361764
266,jinchang,38.5,102.17,296.14,31,0,2.72,CN,1595361765
267,lavrentiya,65.58,-171.0,281.4,70,80,0.53,RU,1595361765
268,rypefjord,70.63,23.67,284.15,100,75,4.1,NO,1595361765
269,duvan,55.7,57.9,288.7,92,97,3.79,RU,1595361765
270,cidreira,-30.18,-50.21,294.31,69,100,2.13,BR,1595361765
271,manzhouli,49.6,117.43,287.91,64,13,2.36,CN,1595361766
272,erzin,36.96,36.2,300.93,83,4,0.09,TR,1595361766
273,kununurra,-15.77,128.73,286.15,32,12,5.06,AU,1595361767
274,severo-kurilsk,50.68,156.12,283.14,88,22,2.94,RU,1595361670
275,nizhniy kislyay,50.85,40.17,290.23,85,0,3.12,RU,1595361767
276,pochutla,15.74,-96.47,303.15,83,90,2.6,MX,1595361767
277,lorengau,-2.02,147.27,300.52,73,29,2.48,PG,1595361768
278,isangel,-19.55,169.27,293.5,66,19,4.91,VU,1595361758
279,narsaq,60.92,-46.05,292.15,39,40,4.1,GL,1595361768
280,monroe,43.15,-77.68,299.82,57,75,3.6,US,1595361492
281,college,64.86,-147.8,285.15,93,90,5.1,US,1595361622
282,mersing,2.43,103.84,297.15,100,84,2.6,MY,1595361769
283,russell,32.35,-85.2,308.15,44,1,1.5,US,1595361769
284,tuktoyaktuk,69.45,-133.04,279.15,75,75,3.1,CA,1595361770
285,dandong,40.13,124.39,291.97,79,82,1.45,CN,1595361770
286,alugan,12.22,125.48,300.05,80,100,2.28,PH,1595361770
287,nehe,48.48,124.83,289.54,73,27,2.62,CN,1595361771
288,ikalamavony,-21.15,46.58,285.4,81,10,3.32,MG,1595361771
289,cootamundra,-34.65,148.03,275.37,96,50,0.45,AU,1595361771
290,mackenzie,55.3,-123.17,290.15,93,75,2.1,CA,1595361628
291,winnemucca,40.97,-117.74,309.15,11,1,2.1,US,1595361771
292,mill valley,37.91,-122.55,292.59,75,40,4.8,US,1595361690
293,jasrana,27.25,78.68,301.88,67,100,1.49,IN,1595361772
294,baherden,38.44,57.43,307.5,14,0,3.94,TM,1595361772
295,kalmunai,7.42,81.82,300.49,80,100,4.88,LK,1595361772
296,kahului,20.89,-156.47,301.15,61,40,4.6,US,1595361773
297,sola,-13.88,167.55,297.98,71,14,7.96,VU,1595361773
298,hamilton,39.18,-84.53,307.59,55,75,5.1,US,1595361483
299,saint-philippe,-21.36,55.77,291.15,82,75,2.1,RE,1595361773
300,beringovskiy,63.05,179.32,282.17,74,0,1.67,RU,1595361774
301,tessalit,20.2,1.01,308.53,22,60,5.56,ML,1595361774
302,bull savanna,17.89,-77.59,302.2,70,25,7.25,JM,1595361775
303,nikolskoye,59.7,30.79,292.04,77,75,5.0,RU,1595361775
304,cururupu,-1.83,-44.87,298.77,93,85,1.68,BR,1595361775
305,jalu,29.03,21.55,300.28,41,0,8.01,LY,1595361775
306,port perry,44.11,-78.94,300.93,60,75,1.5,CA,1595361775
307,andenes,69.31,16.12,284.15,93,90,6.2,NO,1595361776
308,shimoda,34.67,138.95,295.37,94,71,3.0,JP,1595361776
309,fairbanks,64.84,-147.72,285.15,93,90,4.6,US,1595361643
310,coquimbo,-29.95,-71.34,288.15,72,40,5.7,CL,1595361777
311,dalnerechensk,45.93,133.72,290.01,93,0,1.31,RU,1595361777
